Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে আজি নেদাৰলেণ্ডছৰ মহাৰাণী মহামহিম মেক্সিমাক সাক্ষাৎ কৰে৷
He will lay the Foundation Stone for an additional six Rural Water Supply Schemes in these two districts, and an Urban Water Supply Scheme in Hazaribagh.	ইয়াৰ উপৰিও অতিৰিক্তকৈ এই দুখন জিলাত ছটা গ্ৰাম্য পানীযোগান প্ৰকল্পৰ আধাৰশিলা স্থাপন কৰিব আৰু হাজাৰিবাগত এটা নগৰ পানীযোগান প্ৰকল্পৰ আধাৰশিলা স্থাপন কৰিব।
The Prime Minister will inaugurate the Sahibganj Sewerage Treatment Plant, and the Madhusudan Ghat, under the Namami Gange initiative.	প্ৰধানমন্ত্ৰীয়ে নমামি গংগে প্ৰকল্পৰ অধীনত চাহিবগঞ্জ পয়ঃপ্ৰণালী ব্যৱহাৰ প্ৰকল্প আৰু মধুসূদন ঘাটো মুকলি কৰিব।
Women Engineering College Building in Ramgarh will also be inaugurated by PM.	প্ৰধানমন্ত্ৰীয়ে কালি এই ভ্ৰমণকালতে ৰামগড়ত মহিলা অভিযান্ত্ৰিক মহাবিদ্যালয়ৰো গৃহ মুকলি কৰিব।
Foundation Stone for water supply schemes in areas inhabited by Particularly Vulnerable Tribal Groups will also be laid by PM.	ইফালে প্ৰধানমন্ত্ৰীয়ে বিশেষভাৱে জনজাতীয় লোকসকল বসবাস কৰা এলেকাবোৰত একাধিক পানীযোগান প্ৰকল্পৰ আধাৰশিলা মুকলি কৰিব।
The Prime Minister will also lay the Foundation Stone for the Centre for Tribal Studies, Acharya Vinoba Bhave University, Hazaribagh.	প্ৰধানমন্ত্ৰীয়ে লগতে হাজাৰিবাগত থকা বিনোৱা ভাৱে বিশ্ববিদ্যালয়ত জনজাতি অধ্যয়ন কেন্দ্ৰ এটাৰ আধাৰশিলাও মুকলি কৰিব।
PM will distribute cheques to select beneficiaries to mark the launch of DBT scheme for farmers to purchase mobile phones under e-NAM.	প্ৰধানমন্ত্ৰীয়ে ই-নাম (e-NAM)ৰ অধীনত মোবাইল ফোন ক্ৰয় কৰিবলৈ কৃষকসকলৰ বাবে ডিবিটি আঁচনিৰ স্মাৰক হিচাপে চেকসমূহ বিতৰণ কৰিব।
The Prime Minister will distribute packed milk to select school-children to mark the launch of Gift Milk Scheme for students in government schools to improve nutritional status.	প্ৰধানমন্ত্ৰীয়ে নিৰ্দ্দিষ্ট স্কুলীয়া ছাত্ৰ-ছাত্ৰীৰ মাজত পেকেট গাখীৰ বিতৰণো কৰিব, উল্লেখ যে পৰিপুষ্টিজনিত দিশবোৰৰ উত্তৰণৰ বাবে চৰকাৰী বিদ্যালয়সমূহত ছাত্ৰ-ছাত্ৰীৰ বাবে ‘গিফ্ট মিল্ক স্কিম’ মুকলিৰ স্মাৰক হিচাপে এই গাখীৰ বিতৰণ কৰা হ’ব।
Leader of the Conservative Party of Canada and Leader of Her Majesty’s Loyal Opposition of Canada, Mr Andrew Scheer, called on the Prime Minister Shri Narendra Modi today.	কানাডাৰ কনজাৰভেটিভ পাৰ্টীৰ নেতা তথা বিৰোধী দলৰ নেতা এণ্ড্ৰিউ শ্বীয়েৰক আজি প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে সাক্ষাৎ কৰে৷
Noting that the relationship between the two countries was elevated to strategic partnership during his visit to Canada in 2015, the Prime Minister stressed the importance of strengthening bilateral cooperation in diverse spheres.	২০১৫ চনত প্ৰধানমন্ত্ৰীয়ে কৰা কানাডা ভ্ৰমণৰ কথা সোঁৱৰণ কৰি দুয়োখন দেশৰ মাজত থকা সম্পৰ্কৰ বিষয়ে আলোকপাত কৰি প্ৰধানমন্ত্ৰীয়ে দুয়োখন দেশৰ দ্বিপাক্ষিক সম্পৰ্কক সৱলীকৰণ কৰাৰ বিষয়ে গুৰুত্ব প্ৰদান কৰে৷
Mr Scheer shared his perspective on further developing friendly relations between the two countries.	শ্বীয়েৰে দুয়োখন দেশৰ মাজত বন্ধুত্বমূলক সম্পৰ্কক আগুৱাই নিয়াৰ ক্ষেত্ৰত তেওঁৰ দৃষ্টিভংগীৰ বিষয়ে উল্লেখ কৰে৷
PM says, the Government is constantly working to create a conducive environment for business in the country	দেশত ব্যৱসায় কৰাৰ বাবে এক সুচল পৰিৱেশ সৃষ্টি কৰাৰ বাবে চৰকাৰে অহৰহ চেষ্টা অব্যাহত ৰাখিছে, এইদৰে কয় প্ৰধানমন্ত্ৰীয়ে।
The Prime Minister Shri Narendra Modi inaugurated the Ahmedabad Shopping Festival-2019 at the Sabarmati Riverfront in Ahmedabad.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে আহমেদাবাদৰ সবৰমতী নদীৰ পাৰত আয়োজন কৰা আহমেদাবাদ শ্ব’পিং ফেষ্টিভেল ২০১৯ আনুষ্ঠানিকভাৱে মুকলি কৰে।
From the street vendors to shopping malls and from Craftsmen to hotels-restaurant-linked businesses, across the Gujarat, have come here to showcase and promote their products.	সমগ্ৰ গুজৰাটৰ পদপথৰ পোহাৰীৰ পৰা আৰম্ভ কৰি শ্বপিং মললৈ, শিল্প-কলাৰ পৰা আৰম্ভ কৰি হোটেল-ৰেষ্টুৰেণ্ট সংযোগী ব্যৱসায়, সকলো আহিছে এই ফেষ্টিভেললৈ, উদ্দেশ্য একেটাই, তেওঁলোকৰ উৎপাদিত সামগ্ৰীসমূহৰ উপস্থাপন, প্ৰদৰ্শন আৰু প্ৰসাৰ।
The festival is unique since it is being organized simultaneously with the Vibrant Gujarat Summit.	ভাইব্ৰেণ্ট গুজৰাট ছামিটৰ সৈতে সংগতি ৰাখি আয়োজন কৰা হেতুকেই এই ফেষ্টিভেলে বিশেষ গুৰুত্ব বহন কৰিছে।
The Prime Minister addressed a public gathering on the occasion.	এই সন্দৰ্ভতে আয়োজন কৰা এক ৰাজহুৱা সভাতো প্ৰধানমন্ত্ৰীগৰাকীয়ে এক ভাষণ প্ৰদান কৰে।
He praised the event saying “Usually, we get to see such big business Summit only abroad.	অনুষ্ঠানটোৰ ভূয়সী প্ৰসংশা কৰি তেওঁ কয়, “সাধাৰণতে এনেধৰণৰ বিশাল সন্মিলন আমি বিদেশতহে দেখিবলৈ পাওঁ।
Now vibrant Gujarat as well as the start of Ahmedabad shopping Festival, is a commendable initiative”.	এতিয়া ভাইব্ৰেণ্ট গুজৰাটৰ লগতে আহমেদাবাদ শ্ব’পিং ফেষ্টিভেল এইক্ষেত্ৰত প্ৰসংশনীয় পদক্ষেপ।”
The PM added, “The Government is constantly working to create a conducive environment for business in the country.	প্ৰধামন্ত্ৰীয়ে লগতে কয়, “দেশত ব্যৱসায় কৰাৰ এক সুচল পৰিৱেশ সৃষ্টিৰ বাবে চৰকাৰখনে অহৰহ চেষ্টা কৰি আহিছে।
In the past 4 years, old laws have been abolished and hundreds of rules are made easier.	বিগত ৪ টা বৰ্ষত ভালেমান পুৰণি নিয়ম কানুন সালসলনি কৰা হৈছে আৰু কেবাশ নতুন নিয়ম-নীতিৰে পৰিৱেশ সহজসাধ্য কৰি তোলা হৈছে।
It is because of such efforts that we have improved significantly on the Ease of Doing Business rankings from 142 to 77”.	এনেবোৰ প্ৰয়াসৰ ফলতেই দেশত ব্যৱসায় কৰাৰ সুচলতাৰ দিশেৰে আমি ১৪২ নং ৰেংকিংৰ পৰা উত্তৰণ ঘটাই বৰ্তমান ৭৭ ত উপনীত হৈছো।”
The PM added,“It is our constant endeavour to simplify procedures for small entrepreneurs.	প্ৰধানমন্ত্ৰীয়ে লগতে কয়, “ক্ষুদ্ৰ উদ্যোগীসকলৰ বাবে প্ৰক্ৰিয়াসমূহ সৰল কৰি তোলাৰ ক্ষেত্ৰত আমি ধাৰাবাহিকভাৱে প্ৰচেষ্টা অব্যাহত ৰাখিছো।
We are moving towards the system when the banks can give credit to small entrepreneurs on the basis of GST and other returns.	জিএছটি আৰু অন্যান্য ৰিটাৰ্ণৰ ভিত্তিত ক্ষুদ্ৰ উদ্যোগীসকলে যাতে বেংকৰ ঋণ লাভ কৰিব পাৰে তেনে এক পৰিৱেশ গঢ়ি তোলাৰ বাবে আমি কাম কৰি আছো।
We are clearing loans up to Rs one crore in 59 minutes”.	ইয়াৰ বাবে আমি ইতিমধ্যেই মাত্ৰ ৫৯ মিনিটতেই এক কোটি টকা পৰ্যন্ত ঋণ মোকলাইয়ো দিছো।”
Earlier today, the PM inaugurated the Vibrant Gujarat Global Trade Showat the Mahatma Mandir Exhibition cum Convention Center in Gandhinagar.	আজি এই অনুষ্ঠানৰ প্ৰাকক্ষণত, প্ৰধানমন্ত্ৰীয়ে গান্ধীনগৰত অনুষ্ঠিত মহাত্মা মন্দিৰ প্ৰদৰ্শনী তথা সন্মিলন কেন্দ্ৰত ভাইব্ৰেণ্ট গুজৰাট গ্লোবেল বাণিজ্য মেলাও মুকলি কৰে।
With this, the stage is set for 9th edition of Vibrant Gujarat Summit,scheduled to be held during January 18-20in Gandhinagar.	ইয়াৰ লগতে, ১৮ জানুৱাৰীৰ পৰা অহা ২০ জানুৱাৰীলৈ গান্ধীনগৰতে আয়োজন কৰা হৈছে ভাইব্ৰেণ্ট গুজৰাট ছামিটৰ ৯ম সংস্কৰণ।
Passage of The Constitution (One Hundred And Twenty-Fourth Amendment) Bill, 2019 in both Houses of Parliament is a victory for social justice.It ensures a wider canvas for our Yuva Shakti to showcase their prowess and contribute towards India’s transformation.	সংসদৰ দুয়োটা গৃহতে সংবিধান (১২৪ সংশোধনী) বিধেয়ক, ২০১৯ গৃহীত হোৱাৰ জৰিয়তে সামাজিক ন্যায়ত বিজয় সাব্যস্ত হৈছে৷ ইয়াৰ দ্বাৰা আমাৰ যুৱ শক্তিয়ে ভাৰতৰ ৰূপান্তৰণত তেওঁলোকৰ কৌশল প্ৰদৰ্শন আৰু অৰিহণা আগবঢ়োৱাৰ বিস্তৃত পৰিসৰৰ নিশ্চিতি লাভ হ’ব৷
I am happy to be a part of this august gathering of global leaders and decision makers of the food processing sector.	মই আজি সমগ্ৰ বিশ্বৰ খাদ্য প্ৰস্তুতকৰণ খণ্ডৰ নেতৃস্থানীয় লোকসকলৰ এই বিশাল সভাত অংশ গ্ৰহণ কৰিবলৈ পাই অতি সুখী।
This event will provide you a glimpse of the opportunities that await you, in India.	আপোনালোক সকলোকে ২০১৭ চনৰ বিশ্ব খাদ্য ভাৰত অনুষ্ঠানলৈ আদৰণি জনাইছো।
It will showcase our potential in the food processing value chain.	এই অনুষ্ঠানে আপোনালোকৰ আগত ভাৰতে আপোনালোকলৈ আগবঢ়াব পৰা সুবিধাসমূহ দাঙি ধৰিব।
India’s strengths in agriculture, are many and diverse.	কৃষিক্ষেত্ৰত ভাৰতৰ শক্তি ভিন্নমুখী।
The second largest arable land area, and as many as 127 diverse agro-climatic zones, give us global leadership in a number of crops like bananas, mangoes, guavas, papayas, and okra.	ইয়াত ১২৭ টা ভিন্ন জলবায়ুৰ কৃষিভূমি আছে যি আমাক কল, আম, মধুৰিআম, অমিতা আদি প্ৰচুৰ পৰিমাণত যোগান ধৰে।
We are second, globally, in terms of production of rice, wheat, fish, fruits and vegetables.	বিশ্বৰ ভিতৰতে ধান, ঘেঁহু, মাছ, ফল আৰু পাচলি উৎপাদনত ভাৰতৰ স্থান দ্বিতীয়।
India is also the world’s biggest milk producer.	ভাৰত বিশ্বৰ বৃহত্তম গাখীৰ উৎপাদন কৰা দেশ।
Our horticulture sector has shown an average growth rate of 5.5 per cent annually over the last ten years.	উদ্যান শস্যৰ ক্ষেত্ৰত ভাৰতে যোৱা দহবছৰত গড়ে ৫.৫ শতাংশকৈ উন্নতি কৰিছে।
For centuries, India has welcomed traders from distant lands, who came in search of our distinctive spices.	শতিকাধৰি ভাৰতে মছলাৰ সন্ধানত অহা বিশ্বৰ বিভিন্ন ঠাইৰ ব্যৱসায়ীক আদৰণি জনাই আহিছে।
Their travels to India, often shaped the course of history.	তেওঁলোকৰ ভ্ৰমণে সততে আমাৰ ইতিহাসত স্থান লাভ কৰিছে।
Our trade synergies with Europe and South East Asia through the Spice Route are well known.	‘স্পাইচ ৰুট’ৰ জৰিয়তে ইউৰূপ আৰু দক্ষিণ-পূৱ এচিয়াৰ লগত আমাৰ সম্বন্ধ সৰ্বজনবিদিত।
Even Christopher Columbus was attracted to Indian spices, and reached America, as he searched for an alternate sea route to India.	আনকি ক্ৰিষ্টোফাৰ কলম্বাছো ভাৰতীয় মছলাৰদ্বাৰা আকৃষ্ট হৈছিল আৰু তাৰেই সন্ধানত গৈ আমেৰিকাত উপস্থিত হৈছিলগৈ।
It has been practiced for ages, even in the humblest of households.	ভাৰতত খাদ্য প্ৰস্তুতকৰণ অতীজৰে পৰা চলি অহা জীৱনধাৰাৰ এক অংগ।
Simple, home-based techniques, such as fermentation, have resulted in the creation of our famous pickles, papads, chutneys and murabbas that now excite both the elite and the masses, across the world.	সহজ সৰল ঘৰুৱা পদ্ধতিত আচাৰ, পাপড়, চাটনি, মোৰাব্বা আদি প্ৰস্তুত কৰা হৈছিল, যি এতিয়া সমগ্ৰ বিশ্বৰ সকলো শ্ৰেণীৰ লোকে আদৰি লৈছে।
Let us turn, for a while, to the big picture.	আমি ইয়াৰ বহল চিত্ৰখন চাবলৈ চেষ্টা কৰো আহক।
This is the highest ever improvement for India, and the highest jump for any country this year.	২০১৬ চনত সেউজ পথাৰত বিনিয়োগৰ ক্ষেত্ৰত ভাৰতে বিশ্বৰ ভিতৰতে প্ৰথম স্থান লাভ কৰিছে।
From a rank of 142 in 2014, we have now reached the top 100.	আজি ভাৰতত নতুন ব্যৱসায় আৰম্ভ কৰা আগতকৈ বহু সহজ।
India was ranked number one in the world in 2016 in greenfield investment.	সকলো প্ৰক্ৰিয়া সহজ কৰি তোলা হৈছে।পুৰণি আইনসমূহ সলনি তথা সংশোধন কৰা হৈছে।
Starting a new business in India is now easier than ever before.	আজি বিশেষকৈ মই খাদ্য প্ৰস্তুতকৰণ ক্ষেত্ৰৰ কথাই কওঁ।
I now turn specifically, to food processing.	চৰকাৰে পৰিৱৰ্তনকামী পদক্ষেপ হাতত লৈছে।
The Government has undertaken a range of transformational initiatives.	এই ক্ষেত্ৰত ভাৰত এতিয়া সবাতোকৈ আকাংক্ষিত বিনিয়োগৰ লক্ষ্যস্থান হৈ পৰিছে।
It is a priority sector in our “Make in India” programme.	‘মে’ক ইন ইণ্ডিয়া’ই এইক্ষেত্ৰত অগ্ৰাধিকাৰ লাভ কৰিছে।
100% FDI, is now permitted, for trading, including through e-commerce, of food products manufactured or produced in India.	বাণিজ্য, ই-বাণিজ্য, খাদ্য সামগ্ৰী আদিৰ ক্ষেত্ৰত এতিয়া ১০০% পোনপটীয়া বৈদেশিক বিনিয়োগৰো অনুমতি দিয়া হৈছে।
There are attractive fiscal incentives from the Union and State Governments.	কেন্দ্ৰীয় আৰু ৰাজ্য চৰকাৰসমূহৰ সহযোগত সুবিধাজনক নীতি গ্ৰহণ কৰা হৈছে।
Loans to food and agro-based processing units, and cold chains, are classified under priority sector lending, making them easier and cheaper to obtain.	বিনিয়োগকাৰীৰ বন্ধুস্বৰূপ নিৱেশ বন্ধু আঁচনি আৰম্ভ কৰি কেন্দ্ৰীয় আৰু ৰাজ্য চৰকাৰসমূহৰ নীতিসমূহৰ সাল-সলনি কৰা হৈছে আৰু খাদ্য প্ৰস্তুতকৰণ ক্ষেত্ৰত বিশেষ সুবিধা দিয়া হৈছে।
It maps resources upto the local level, with processing requirements.	স্থানীয় পৰ্যায়ত খাদ্য প্ৰস্তুতকৰণ ক্ষেত্ৰৰ প্ৰয়োজনীয়তাৰ প্ৰতি লক্ষ্য ৰখা হৈছে।
Many international companies in India have taken a lead in contract farming initiatives.	ভাৰতত বহু আন্তঃৰাষ্ট্ৰীয় সংস্থাই এই ক্ষেত্ৰত আগভাগ লৈছে।
On one hand, there are opportunities in post-harvest management, like primary processing and storage, preservation infrastructure, cold chain, and refrigerated transportation.	আনহাতে কৃষিৰ পিছত ফচলসমূহ ভালকৈ ৰখাৰ বাবে গোদাম, শীতল ভঁৰালৰ ব্যৱস্থাত আমি মনোযোগ দিছো।কৃষিজাত সামগ্ৰীসমূহৰ ক্ষেত্ৰত মূল্য সংযোজনৰ অতিপাত সম্ভাৱনীয়তা আমাৰ পৰিলক্ষিত হৈছে।
Increasing urbanization, and a growing middle class, are resulting in an ever-growing demand for wholesome, processed food.	বৰ্দ্ধিত চহৰৰ সংখ্যা, মধ্যবিত্ত শ্ৰেণীৰ উত্থানে প্ৰক্ৰিয়াকৃত খাদ্য সামগ্ৰীৰ চাহিদা বৃদ্ধি কৰিছে।
Over a million passengers have a meal on a train in India, every single day.	উদাহৰণস্বৰূপে ভাৰতত এক নিযুততকৈও অধিক যাত্ৰীয়ে নিতৌ ৰে’লগাড়ীৰে যাত্ৰা কৰে।
Each one of them, is a potential customer for the food processing industry.	প্ৰতিজনেই খাদ্য প্ৰক্ৰিয়াকৰণ উদ্যোগৰ একো একোজন সম্ভাৱনীয় গ্ৰাহক।
Such is the scale of opportunity that is waiting to be tapped.	তেনেধৰণৰ আৰু বহু চিহ্নিত নোহোৱা গ্ৰাহক নিশ্চয় আছে।
Lifestyle disease is raising consciousness globally, about the nature and quality of food consumption.	দিনে দিনে জীৱনধাৰাৰ লগত জড়িত অসুখৰ সংখ্যা বৃদ্ধি পাইছে আৰু সেই অনুপাতে মানুহৰ সচেতনতাও বাঢ়িছে।
There is a growing aversion to the use of artificial colours, chemicals and preservatives.	কৃত্ৰিম খাদ্যৰ ৰং, ৰসায়ন আৰু সংৰক্ষণৰ বাবে ব্যৱহাৰ কৰা সামগ্ৰীয়েই ইয়াৰ বাবে দায়ী বুলি বিবেচিত হৈছে।
India can provide solutions, and offer a win-win partnership.	এই ক্ষেত্ৰত ভাৰতত ইয়াৰ সমাধান সূত্ৰ মজুত আছে।
The combination of traditional Indian food, with modern technology, processing and packaging, can help the world rediscover the health benefits, and refreshing taste of Indian food ingredients such as turmeric, ginger, and tulsi, to name just a few.	ভাৰতৰ পৰম্পৰাগত খাদ্য আৰু আধুনিক প্ৰযুক্তিৰ সংগমত স্বাস্থ্যসন্মত খাদ্য সম্ভাৰ তৈয়াৰ কৰি সমগ্ৰ বিশ্বকে সুষম আহাৰৰ যোগান দিয়া সম্ভৱ হ’ব পাৰে।
The perfect blend of hygienic, nutritious and tasty processed food, with the added benefits of preventive healthcare, can be produced economically, here in India.	আমি তুলসী, হালধি, আদা, আদি সামগ্ৰী পৰিষ্কাৰ আৰু স্বাস্থ্যসন্মত খাদ্য প্ৰস্তুত কৰাৰ বাবে ব্যৱহাৰ কৰিব পাৰো যি আমাৰ অৰ্থনীতিকো যোগাত্মকভাৱে প্ৰভাৱিত কৰিব।
The Food Safety and Standards Authority of India has been engaged in ensuring that processed food made in India, matches global quality standards.	ভাৰতৰ খাদ্য সুৰক্ষা প্ৰাধিকৰণে ভাৰতত তৈয়াৰী প্ৰক্ৰিয়াকৃত খাদ্য সামগ্ৰীক স্বাস্থ্যসন্মত বুলি নিশ্চিত কৰিছে।
The harmonization of the food additives standards with Codex, and the building of robust testing and laboratory infrastructure, will go a long way in creating an enabling environment for food businesses.	খাদ্য সামগ্ৰীৰ মান নিৰ্ণয় কৰিবৰ বাবে আৰু অধিক গৱেষণাগাৰৰ আন্তঃগাঁথনি উন্নত কৰিব পাৰিলে এইক্ষেত্ৰত আমি অধিক আগবাঢ়িব পাৰিম বুলি মোৰ বিশ্বাস।
This is expected to leverage investment of five billion US dollars, benefit two million farmers and generate more than half a million jobs over the next three years.	ইয়াৰ ফলত পাঁচ বিলিয়ন আমেৰিকান ডলাৰৰ বিনিোগ অহাৰ সম্ভাৱনা আছে যাৰ ফলত দুই নিযুত কৃষক লাভান্বিত হ’ব আৰু অনাগত বছৰকেইটাত আধা নিযুততকৈও অধিক নিয়োগৰ সুবিধা সৃষ্টি হ’ব।
The creation of Mega Food Parks is a key component of this scheme.	মেগা ফুড পাৰ্কৰ সৃষ্টি এই ক্ষেত্ৰত এক ডাঙৰ পদক্ষেপ।
Each sub sector of the food industry in India offers immense opportunity.	খাদ্য উদ্যোগৰ প্ৰতিটো খণ্ডতে প্ৰচুৰ সম্ভাৱনীয়তা আছে।
Let me give you some illustrations.	মই অলপ বহলাই কৈছো।
The dairy sector has emerged as a vital area for the rural economy.	দুগ্ধখণ্ডই গ্ৰাম্য অৰ্থনীতিত এক গুৰুত্বপূৰ্ণ ভূমিকা গ্ৰহণ কৰে।
We now aim to take this to the next level by increasing production levels of multiple products based on milk.	আমি এতিয়া দুগ্ধ উৎপাদন তথা দুগ্ধজাত সামগ্ৰীৰ উৎপাদনক এক নতুন স্তৰলৈ লৈ যাবলৈ যত্নপৰ হৈছো।
Honey is nature’s gift to mankind.	মৌ মানৱৰ বাবে প্ৰকৃতিৰ মহৎ দান।
India contributes over six per cent of global fish production.	আমি বৰ্তমান মৌ ৰপ্তানিৰ ক্ষেত্ৰত বিশ্বৰ ভিতৰত ষষ্ঠ স্থানত আছো।
We are the world’s second largest exporter of shrimps.	ভাৰতে এক মধু আন্দোন আৰম্ভ কৰাৰ দিশত আগবাঢ়িছে।
Food processing also holds solutions to nutrition security.	খাদ্য প্ৰস্তুতকৰণৰ লগত স্বাস্থ্য সুৰক্ষাৰ কথাও জড়িত হৈ আছে।
Such products, shall, of course, find resonance across the world.	আমি ভাৰতৰ কৃষকক আন্তঃৰাষ্ট্ৰীয় বজাৰৰ সৈতে সংযোগ কৰাই দিব নোৱাৰোনে?
Can we link our potential, to the world’s requirements?	এই প্ৰশ্নসমূহ মই আপোনালোকৈলৈ আগবঢ়াই দিছো।
I am confident that World Food India will help us take some concrete steps in this direction.	ই আমাৰ পৰম্পৰাগত জ্ঞানেৰে পৰিপূৰ্ণ ঐশ্বৰ্যশালী খাদ্য বৈশিষ্ট্যক নতুনকৈ তুলি ধৰাত সহায় কৰিব।
It will also provide valuable insights into our rich culinary landscape, and highlight our ancient wisdom of food processing.	মই সুখী যে ডাক বিভাগে ভাৰতৰ বিভিন্ন অঞ্চলৰ খাদ্য সম্ভাৰৰ ছবিযুক্ত ২৪ টা ডাকটিকত এই অনুষ্ঠানৰ স্মৰক হিচাপে মুকলি কৰিছে।
The place with unlimited opportunity from farm to fork.	পথাৰৰ পৰা চামুচলৈকে অপৰিসীম সুবিধাৰ ঠাই আমাৰ ভাৰত।
The place to produce, process, and prosper.	উৎপাদন, প্ৰস্তুতকৰণ আৰু প্ৰগতিৰ ঠাই আমাৰ ভাৰত।
For India, and for the world.	ভাৰতৰ স্বাৰ্থত, বিশ্বৰ স্বাৰ্থত।
Prime Minister Shri Narendra Modi has congratulated Deepak Lather on winning a bronze in Weightlifting at Commonwealth Games .	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে কমনৱেলথ গেমছত ভাৰত্তোলন প্ৰতিযোগিতাত ব্ৰঞ্জৰ পদক বিজয়ী দীপক লাথাৰক অভিনন্দন জ্ঞাপন কৰে৷
My young friend Deepak Lather wins a Bronze in the Men’s 69 kg category.	প্ৰধানমন্ত্ৰীয়ে কয়, ‘‘আমাৰ ভাৰত্তোলকসকল সুন্দৰ স্থিতিত আছে!
The Union Cabinet chaired by Prime Minister Narendra Modi has approved Promulgation of the Daman and Diu Civil Courts (Amendment) Regulation, 2019 and the Dadra and Nagar Haveli (Civil Courts and Miscellaneous Provisions)Amendment Regulation, 2019 under Article 240 of the Constitution.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেট বৈঠকত সংবিধানৰ ২৪০নং অনুচ্ছেদৰ অধীনত দমন আৰু দিউ অসামৰিক আদালত (সংশোধনী) অধিনিয়ম, ২০১৯ আৰু দাদৰা আৰু নগৰ হাভেলী (অসামৰিক আদালত আৰু অন্যান্য ব্যৱস্থাৱলী) সংশোধনী অধিনিয়মত অনুমোদন জনাইছে৷
The Prime Minister, Shri Narendra Modi has condoled the loss of lives due to cyclone in Tamil Nadu.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে তামিলনাডুৰ ঘূৰ্ণীবতাহত নিহত হোৱা লোকসকলৰ প্ৰতি গভীৰ শোক প্ৰকাশ কৰিছে৷
The Union Cabinet chaired by Prime Minister Narendra Modi has approved the proposal for creation of the Post of Technical Member in Securities Appellate Tribunal (SAT), Mumbai at the level of Secretary to the Government of India in the pay scale of Rs. 2,25,000/- (fixed) or Level 17 of the Pay Matrix as per the 7th Pay Commission.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰহিত্যত কেন্দ্ৰীয় কেবিনেটে মুম্বাইৰ ছিকিউৰিটিজ এপ্পেলেট ট্ৰিবুনেল চমুকৈ এছএটিত প্ৰযুক্তি সদস্য পদ সৃষ্টিৰ বাবে অনুমোদন প্ৰদান কৰিছে৷ এই পদ ভাৰত চৰকাৰৰ সচিব পৰ্যায়ৰ হ’ব আৰু ২,২৫,০০/- (স্থিৰ) অথবা পৰ্যায় এল৭ তথা সপ্তম দৰমহা আয়োগ অনুসৰি হ’ব৷
Creation of the post will facilitate the creation of an additional bench in SAT, Mumbai thereby allowing speedy disposal of the increased number of appeals in SAT with respect to Securities and Exchanges Board of India, (SEBI), Insurance Regulatory and Development Authority of India (IRDA) and the Pension Fund Regulatory and Development Authority (PFRDA), which will be much beneficial to investors, pensioners and the general public.	এই পদৰ সৃষ্টিৰ দ্বাৰা এছএটিত এক নতুন বেঞ্চমাৰ্কৰ সৃষ্টি হ’ব আৰু ক্ৰমবৰ্ধিত আপীলসমূহৰ দ্ৰুত সমাধান সম্ভৱ হ’ব৷ ইয়াৰ দ্বাৰা ছেবি, আইআৰডিএ আৰু পিএফআৰডিএত বিনিয়োগকাৰী, পেঞ্চনাৰ আৰু সাধাৰণ জনতা উপকৃত হ’ব৷ প্ৰতিভূতি বজাৰ আৰু বীমা খণ্ডৰ দ্ৰুত উন্নয়ন হ’বলৈ ধৰিছে৷ প্ৰতিভূতি বজাৰত ট্ৰেডিঙৰ পৰিমাণ বৃদ্ধি আৰু বীমা খণ্ডত ক্লায়েণ্টৰ পৰিমাণ বৃদ্ধিৰ লগতে অভিযোগৰ পৰিমাণো বৃদ্ধি হৈছে৷ সেয়ে এই অভিযোগসমূহৰ দ্ৰুত নিবাৰণৰ বাবে এনে ব্যৱস্থা প্ৰণয়ন কৰা আৱশ্যম্ভাৱী হৈ পৰিছে৷
The Prime Minister, Shri Narendra Modi, addressed the ‘Campaign for Drugs Free India’, organized by the Art of Living Foundation, through video message.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে ভিডিঅ’ কনফাৰেন্সযোগে আৰ্ট অৱ লিভিং ফাউণ্ডেশ্যনে আয়োজন কৰা ‘কেম্পেইন ফৰ ড্ৰাগছ ফ্ৰী ইণ্ডিয়া’ শীৰ্ষক অনুষ্ঠানত ভিডিঅ’ বাৰ্তা প্ৰেৰণেৰে ভাষণ প্ৰদান কৰে।
The message was played at an event at Guru Jambeshwar University at Hisar, today.	প্ৰধানমন্ত্ৰীয়ে প্ৰদান কৰা ভিডিঅ’ বাৰ্তাটো আজি গুৰু জাম্বেশ্বৰ বিশ্ববিদ্যালয়ত আয়োজিত এক অনুষ্ঠানত বজোৱা হয়।
