Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	নতুন দিল্লিতে সোমবার প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর সঙ্গে নেদারন্যান্ডসের মহারানী ম্যাক্সিমা সাক্ষাৎ করেন।
The Prime Minister has already interacted directly with the people in the earlier five editions of ‘Mann Ki Baat’.	‘মন কি বাত’ অনুষ্ঠানের বিগত পাঁচটিপর্বে প্রধানমন্ত্রী বিভিন্ন বিষয়ে সরাসরি সাধারণ মানুষের সঙ্গে মতবিনিময় করেছেন।
He has dwelt upon several issues close to the hearts of the people such as Swachh Bharat Abhiyan, promotion of khadi, skill development, scholarship for disabled children, infrastructure for educational institutions, and menace of drugs.	এর আগে স্বচ্ছ ভারত অভিযান, খাদি শিল্পের প্রসার, দক্ষতা বিকাশ, প্রতিবন্ধী শিশুদের বৃত্তি প্রদান, শিক্ষা প্রতিষ্ঠানগুলির জন্য পরিকাঠামো এবং মাদকাশক্তি ও তার পরিণামের মতো গুরুত্বপূর্ণ বিষয়ে শ্রী মোদী মতামত ব্যক্ত করেছেন।
In the last edition broadcast on 22nd February he urged students to shed their examination stress and worry and develop a positive attitude.	গত ২২ ফেব্রুয়ারি সম্প্রচারিত ‘মন কি বাত’ অনুষ্ঠানের পঞ্চমপর্বে তিনি ছাত্রছাত্রীদের পরীক্ষার চাপ ও ভীতি দূরে সরিয়ে রেখে ইতিবাচক মনোভাব গ্রহণের আহ্বান জানান।
The Prime Minister also shared the ‘Mann Ki Baat’ forum with the US President Barack Obama during his visit to India where the two leaders interacted with the people on a host of issues.	মার্কিন রাষ্ট্রপতি বারাক ওবামার ভারত সফরের সময়ও প্রধানমন্ত্রী তাঁকে ‘মন কি বাত’ অনুষ্ঠানে নিয়ে এসে জনগণের সঙ্গে একাধিক বিষয়ে মতবিনিময় করেন।
The programme has generated an encouraging response from citizens across the country.	দেশ জুড়ে নাগরিকদের কাছ থেকে এই অনুষ্ঠান সম্পর্কে উৎসাহব্যঞ্জক প্রতিক্রিয়া পাওয়া গেছে।
It is simultaneously broadcast live on All India Radio and Doordarshan channels.	আকাশবাণী ও দূরদর্শনের সমস্ত চ্যানেল একসঙ্গে এই অনুষ্ঠান সরাসরি সম্প্রচার করে।
The programme would also be live-streamed on the Prime Minister`s official website.	প্রধানমন্ত্রীর সরকারি ওয়েবসাইটেও এই অনুষ্ঠান সরাসরি সম্প্রচার (লাইভ স্ট্রিম) করা হবে।
The Prime Minister, Shri Narendra Modi, today arrived in the Tent City at Dhordo, in the Rann of Kutch, for the three-day Conference of Directors General of Police.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী শুক্রবার কচ্ছের রান অঞ্চলের ধোরদোর টেন্ট সিটিতে পুলিশের মহা নির্দেশকদের তিন দিনের সম্মেলনে যোগ দেবার জন্য এসে পৌছেছেন।
This is the second time that the Conference is being held outside Delhi.	এ নিয়ে দ্বিতীয় বার এই সম্মেলন দিল্লির বাইরে অনুষ্ঠিত হচ্ছে।
The Conference was held in Guwahati last year.	গত বছর এই সম্মেলন অনুষ্ঠিত হয়েছিল গুয়াহাটিতে।
The Prime Minister attended the inaugural session of the Conference, which was addressed by Home Minister Shri Rajnath Singh.	প্রধানমন্ত্রী সম্মেলনের উদ্বোধনী অধিবেশনে উপস্থিত ছিলেন এবং এই অধিবেশনে স্বরাষ্ট্র মন্ত্রী শ্রী রাজনাথ সিং ভাষন দেন।
The Prime Minister launched a website – “Indian Police in Service of the Nation.”	প্রধানমন্ত্রী একটি ওয়েবসাইটের সূচনা করেন, ওয়েবসাইটের নাম- “ইন্ডিয়ান পুলিশ ইন সার্ভিস অব দ্য নেশান”।
The Prime Minister, along with the Home Minister and other delegates, later left for the White Rann, a short distance from Tent City.	প্রধানমন্ত্রী, স্বরাষ্ট্র মন্ত্রী এবং অন্যান্য প্রতিনিধিদের সঙ্গে নিয়ে এরপর টেন্ট সিটির অনতিদূরে হোয়াইট রানের উদ্দেশ্যে যাত্রা করেন।
He witnessed a camel show performance by the BSF.	সেখানে তিনি বিএসএফ-এর দ্বারা উপস্থাপিত একটি ‘উট প্রদর্শনী’ দেখেছেন।
He witnessed sunset at the White Rann, followed by a cultural programme.	তিনি হোয়াই রানে সূর্যাস্তও দেখেন এবং এরপর একটি সাংস্কৃতিক অনুষ্ঠানও প্রত্যক্ষ করেছেন।
Explaining the rationale behind the advancement of the budget date, the Prime Minister said this would ensure better utilization of funds.	বাজেট পেশেরতারিখ এগিয়ে আনার যৌক্তিকতা প্রসঙ্গে প্রধানমন্ত্রী বলেন, এর ফলে আর্থিক সম্পদের উন্নততরসদ্ব্যবহার নিশ্চিত করা সম্ভব হবে।
Comparing demonetization to the Swachh Bharat Mission, the Prime Minister said it is a movement to clean India from corruption and black money.	বিমুদ্রাকরণকেস্বচ্ছ ভারত কর্মসূচির সঙ্গে তুলনা করে প্রধানমন্ত্রী বলেন, এর লক্ষ্য হ’ল – কালোটাকা ও দুর্নীতি থেকে ভারতকে মুক্ত করা।
The Prime Minister, Shri Narendra Modi, today met over 60 athletes who shall be part of India’s contingent at the Rio Olympic Games.	আসন্ন রিও অলিম্পিকে ভারতের সম্ভাব্য প্রতিনিধিত্বকারী ৬০ জন খেলোয়াড়ের সঙ্গে আজ এক আলাপচারিতায় মিলিত হলেন প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী।
The Prime Minister met each athlete individually, besides interacting informally with the athletes.	ক্রীড়া প্রতিনিধিদের সঙ্গে আলাপচারিতার ফাঁকে প্রত্যেক খেলোয়াড়ের সঙ্গেই আলাদাভাবে কথা বলেন তিনি।
He encouraged the athletes to perform to the best of their ability in the world’s biggest sporting arena.	বিশ্বের বৃহত্তম ক্রীড়া মঞ্চে সর্বশক্তি দিয়ে সাফল্য অর্জনের জন্য তিনি তাঁদের বিশেষভাবে উৎসাহিত করেন।
Several former Olympians including MC Mary Kom, Anju Bobby George and P. Gopichand were among those present at the gathering.	ক্রীড়া প্রতিনিধিদলের সঙ্গে উপস্থিত ছিলেন মেরি কম, অঞ্জু ববি জর্জ এবং পি গোপীচাঁদের মতো কয়েকজন বিশিষ্ট প্রাক্তন খেলোয়াড়ও।
Over 100 Indian athletes from 13 different disciplines have qualified for the Rio Olympics.	প্রসঙ্গত উল্লেখ্য, ১৩টি বিভিন্ন ক্রীড়া ক্ষেত্র থেকে ১০০-রও বেশি ভারতীয় খেলোয়াড়কে বেছে নেওয়া হয়েছে রিও অলিম্পিক গেম্‌স-এর জন্য।
He said that if the world had remembered the message of humanity delivered by Swami Vivekananda that day, perhaps the terror attack of 9/11 would not have happened.	প্রধানমন্ত্রী বলেন, পৃথিবী যদি স্বামীজির সেই মানবতার বাণীকে স্মরণে রাখত তাহলে তার বহু পরে আজকের দিনেই নাইন/ইলেভেনের সেই জঙ্গি হামলা হয়তো ঘটত না।
Noting the presence of children from nearby Government schools at the function, the Prime Minister said that they were the real chief guests of the occasion, and expressed hope that this occasion would serve as an inspiration for them.	আশেপাশের সরকারি স্কুলগুলির ছাত্রছাত্রীদের উপস্থিতির উল্লেখ করে প্রধানমন্ত্রী বলেন, ওরাই হল এই অনুষ্ঠানের প্রকৃত প্রধান অতিথি।
The Prime Minister emphasized that those who were successfully becoming doctors today, had achieved this success not only because of their own efforts, but because of the contribution made by many others in society for their benefit, as they went through the process of receiving medical education.	শ্রী মোদী এই প্রসঙ্গে চিকিৎসাশাস্ত্রে স্নাতক উপাধি পাওয়া সদ্য ডাক্তারদের বলেন যে তাঁদের এই সাফল্য কেবল তাঁদের নিজেদের প্রচেষ্টাতে নয়, বরং তাঁদের সমাজের নানা অংশের মানুষের অবদানের জন্যই।
He urged them to keep the poor of the nation in mind, at every step of their career.	তিনি তাঁদের সমাজের দরিদ্র অংশের কথা তাঁদের পেশার প্রতিটি পর্যায়ে স্মরণে রাখতে বলেন।
The Prime Minister inaugurated a new housing scheme and addressed a public meeting at Sector-25, Chandigarh.	প্রধানমন্ত্রী চণ্ডীগড়ের ২৫ নম্বর সেক্টরে একটি আবাসন প্রকল্পের উদ্বোধন করেন এবং একটি জনসমাবেশে ভাষণ দেন।
He was felicitated by ex-servicemen on stage.	মঞ্চেই প্রাক্তন সৈনিকরা তাঁকে সংবর্ধনা দেন।
Speaking on the occasion, the Prime Minister said virtually every family in this region is like a “Suraksha Kavach” for the nation, as people from the region join the Armed Forces in large numbers.	অনুষ্ঠানে ভাষণ প্রসঙ্গে প্রধানমন্ত্রী বলেন, এই অঞ্চলের প্রায় প্রতিটি পরিবারই দেশের সুরক্ষা কবচ কেননা, এখান থেকে বিরাট সংখ্যায় মানুষ প্রতিরক্ষা বাহিনীতে যোগ দেয়।
He said the Union Government has implemented OROP – One Rank, One Pension – for the Armed Forces, as promised, and the credit for this should go only to the poor, and the common people of India.	তিনি বলেন, কেন্দ্রীয় সরকার সেনাবাহিনীর জন্য ‘এক পদ এক পেনশন’ প্রকল্প চালু করেছে প্রতিশ্রুতি মতো আর এর জন্য সম্পূর্ণ কৃতিত্বই হল দরিদ্র সাধারণের।
He said that the deadlock in the Lok Sabha has forced him to raise these issues in the “Jan Sabha” (directly with the people).	তিনি বলেন, লোকসভার অচলাবস্থাই তাঁকে এই বিষয়গুলি জনসভায় সরাসরি মানুষের সামনে উত্থাপিত করতে বাধ্য করেছে।
The Prime Minister launched IT Platforms for citizens’ facilitation in Chandigarh Housing Board.	চণ্ডীগড় আবাসন পর্ষদে নাগরিকদের সুবিধার জন্য প্রধানমন্ত্রী তথ্যপ্রযুক্তি মঞ্চের সূচনা করেন।
He said such adoption of technology in governance will help empower people.	তিনি বলেন, সুশাসনে প্রযুক্তির প্রয়োগ মানুষের ক্ষমতায়নে সাহায্য করে।
The Prime Minister said that he has a vision for the people of India in 2022 – the 75th anniversary of Independence, that each person should have a House to live in.	তিনি বলেন, ২০২২ সালে ভারতের স্বাধীনতার ৭৫তম বর্ষপূর্তিতে প্রত্যেকের বাড়ি হোক এই তাঁর স্বপ্ন।
The players said that this was the first time that they had seen a Prime Minister tweet for the Women’s Cricket Team.	সদস্যরাজানান যে তাঁরা এই প্রথম এমন একজন প্রধানমন্ত্রীকে দেখছেন যিনি ট্যুইট বার্তারমাধ্যমে মহিলা ক্রিকেট দলের সদস্যদের শুভেচ্ছা জানিয়েছেন।
They said that that they felt proud, happy and inspired to know that the Prime Minister was following their progress.	তাঁরা বলেন যেপ্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী যেভাবে ক্রিকেট খেলায় তাঁদের অগ্রগতির বিষয়টিতেলক্ষ্য রাখছেন, তাতে তাঁরা শুধুমাত্র আনন্দিতই নন, একইসঙ্গে গর্বিত ও অনুপ্রাণিত।
Responding to questions asked by the players on handling pressure, the Prime Minister said that Yoga helps achieve a good balance between mind, body and action.	দৈনন্দিনকাজের চাপের প্রধানমন্ত্রী কিভাবে সামাল দেন সেই প্রশ্নের উত্তরে শ্রী মোদী বলেনযে যোগচর্চার মাধ্যমে শরীর, মন এবং কাজকর্মের মধ্যে একটি সুন্দর ভারসাম্য রক্ষাকরা যায়।
Noting that India’s daughters have made the nation proud in many international sporting events, the Prime Minister said that the society is benefiting from the progress that women are making in various fields.	বহুআন্তর্জাতিক ক্রীড়াক্ষেত্রে ভারত-কন্যারা ভারতকে গৌরবান্বিত করেছেন একথার উল্লেখকরে শ্রী মোদী বলেন, সমাজের বিভিন্ন ক্ষেত্রে নারীরা যেভাবে এগিয়ে চলেছেন, তাতেআখেরে লাভবান হচ্ছে সমাজ ব্যবস্থাই।
The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has approved the signing of Bilateral Investment Agreement (BIA) between India Taipei Association (ITA) in Taipei and Taipei Economic and Cultural Center (TECC) in India.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর পৌরহিত্যে বুধবার (২৪শে অক্টোবর) কেন্দ্রীয় মন্ত্রিসভার বৈঠকে তাইপেই-র ইন্ডিয়া-তাইপেই অ্যাসোসিয়েশন (আইটিএ) এবং ভারতের তাইপেই অর্থনৈতিক ও সাংস্কৃতিক কেন্দ্রের (টিইসিসি) মধ্যে দ্বিপাক্ষিক বিনিয়োগ চুক্তি বা বিআইএ স্বাক্ষরের প্রস্তাবটি অনুমোদিত হয়েছে।
The BIA is likely to increase investment flows between the parties.	দ্বিপাক্ষিক এই বিনিয়োগ চুক্তি স্বাক্ষরের ফলে উভয় পক্ষের মধ্যে লগ্নি প্রবাহ বৃদ্ধি পাবে বলে মনে করা হচ্ছে।
It will provide appropriate protection to investments on a reciprocal basis between ITA and TECC.	সেইসঙ্গে, চুক্তিটি আইটিএ এবং টিইসিসি-র মধ্যে পারস্পরিক ভিত্তিতে বিনিয়োগকে সুরক্ষা প্রদান করবে।
The Prime Minister announced that the Union Cabinet would approve the implementation of Minimum Support Price of 150% of the input cost, in its forthcoming meeting, for the notified crops of Kharif season 2018-19.	মন্ত্রিসভার আগামী বৈঠকে চলতি খরিফ মরশুমের ন্যূনতম সহায়ক মূল্য উৎপাদন ব্যয়ের ১৫০% ধার্য করায় অনুমোদন দেওয়া হতে পারে বলে প্রধানমন্ত্রী ঘোষণা করেন।
This would ensure a significant boost to the income of farmers.	এর ফলে চাষীদের আয় উল্লেখযোগ্যভাবে বৃদ্ধি পাবে।
He also stated that within the next two weeks, the Fair and Remunerative Price (FRP) for sugarcane for the sugar season of 2018-19, will also be announced.	তিনি এও জানান যে আগামী দু সপ্তাহের মধ্যে এই বছরের (২০১৮-১৯) আখের মরশুমের জন্য আখের যথাযথ ও লাভজনক মূল্য ঘোষণা করা হবে।
He said that this will also be higher than the 2017-18 price.	এই বছরের মূল্য গত অর্থবর্ষের তুলনায় বেশি হবে বলে শ্রী মোদী জানান।
It will also provide incentive for those farmers whose recovery from sugarcane will be higher than 9.5%.	আখ থেকে উপার্জিত অর্থ ব্যয়ের চেয়ে ৯.৫ শতাংশ বেশি হলে চাষীদের উৎসাহভাতাও দেওয়া হবে।
The Prime Minister apprised the farmers about the various decisions taken to liquidate the arrears of sugarcane farmers.	আখ চাষীদের বকেয়া মেটাতে গৃহীত সিদ্ধান্তগুলির বিষয়েও প্রধানমন্ত্রী চাষীদের জানান।
In the last seven to ten days itself, more than Rs. 4000 crore of arrears have been given to the farmers as a result of new policy measures enforced, the Prime Minister said.	নয়া নীতি প্রনয়ণের ফলে গত সাত থেকে দশ দিনের মধ্যে ৪০০০ কোটি টাকারও বেশি বকেয়া অর্থ চাষীদের দেওয়া হয়েছে বলে প্রধানমন্ত্রী জানান।
He further assured the farmers that State Governments have been requested to take effective measures for liquidation of cane arrears.	শ্রী মোদী চাষীদের আশ্বস্ত করে বলেন যে আখ চাষের বকেয়া মেটাতে কার্যকরী পদক্ষেপ গ্রহণ করতে রাজ্য সরকারগুলিকে অনুরোধ জানানো হয়েছে।
The Prime Minister exhorted farmers to use sprinkler and drip irrigation, latest farming techniques, and solar pumps.	প্রধানমন্ত্রী, চাষীদের স্প্রিং কলার ও ড্রিপ সেচের মত আধুনিক চাষের পদ্ধতি অবলম্বন এবং সোলার পাম্প ব্যবহারের পরামর্শ দেন।
He urged farmers to install solar panels in their farms as a source of power, as well as additional income.	চাষের জমিতে বিদ্যুতের উৎস এবং বাড়তি রোজগারের জন্যও সোলার প্যানেল বসানোরও উপদেশ দেন তিনি।
He called for emphasis on value addition of crops.	ফসলের গুনমান বাড়ানোর ওপরও তিনি জোর দেন।
He also urged them to use farm waste judiciously, as a source of nutrients and for additional income.	ফসল ফলনের পরে পড়ে থাকা বর্জ্যের যথাযথ ব্যবহার করে তা থেকে সার ও পরিপোষক তৈরীর মাধ্যমে বাড়তি রোগারের উৎস হিসেবে ব্যবহারের আহ্বান জানান।
He exhorted farmers to aim for upto 10% reduction in chemical fertilizers by 2022.	২০২২-এর মধ্যে রাসায়নিক সার ব্যবহারের পরিমাণ ১০ শতাংশ পর্যন্ত কমানোর পরামর্শ দেন শ্রী মোদী।
In the course of the interaction, the Prime Minister also recalled the earlier interventions made by the Union Government in 2014-15 and 2015-16, to ease the burden of sugarcane farmers, who were struggling under a huge amount of arrears worth more than Rs. 21,000 crore.	প্রধানমন্ত্রী আরও স্মরণ করিয়ে দেন যে আখ চাষীদের ২১ হাজার কোটি টাকারও বেশী আর্থিক বোঝা লাঘব করতে ইতিপূর্বে ২০১৪-১৫ ও ২০১৫-১৬-তেও কেন্দ্রীয় সরকার হস্তক্ষেপ করেছে।
This payment was ensured through sugar mills to farmers.	চিনিকলগুলির মাধ্যমে চাষীদের এই অর্থ প্রদানের বিষয়টি সুনিশ্চিত করা হয়েছিল।
Farmers also took note of Union Government’s intervention to the tune of Rs. 1175 crore as interest subvention support for 30 lakh metric tonnes of buffer stock by mills, to enable payment to farmers.	কৃষকরা উল্লেখ করেন যে তাদের পারিশ্রমিক দেওয়ার জন্য ৩০ লক্ষ মেট্রিক টন অতিরিক্ত ফসলের ওপর মোট ১১৭৫ কোটি টাকার কর মুকুবের বিষয়ে কেন্দ্রীয় সরকার মধ্যস্হতা করে।
Our relationship is unique and special.	দু’দেশের মধ্যে বিশেষ এবং অনন্য সম্পর্ক রয়েছে।
It is nurtured by a common purpose – progress of our people and peace and prosperity in the Indian Ocean Region.	দু’দেশের একই লক্ষ্য – মানুষের উন্নয়ন, শান্তি ও সমৃদ্ধি।
Seychelles has made impressive progress.	সেশলস-এ অগ্রগতি হয়েছে অসাধারণ।
It has shown that size is no barrier to the scale of achievements.	এই দেশ দেখিয়ে দিয়েছে আয়তন কোনও সমস্যাই নয় সাফল্যের ক্ষেত্রে।
This visit and my conversation with President Michel have reinforced my conviction in the strength and the importance of this relationship.	প্রেসিডেন্ট মিশেলের সঙ্গে কথোপকথনে দু’দেশের সম্পর্কের গুরুত্বপূর্ণতা আরও মজবুত হয়েছে।
Our security partnership is strong.	ভারতবর্ষ ও সেশেলসের মধ্যে নিরাপত্তা অংশীদারিত্বের ভীতও হয়েছে মজবুত।
It has enabled us to fulfill our shared responsibility to advance maritime security in the region.	এই অঞ্চলের নৌ-ক্ষেত্রের নিরাপত্তায় দু’দেশের দায়িত্ব সম্পাদন করার প্রয়াস এই যৌথ অংশীদারিত্বে যথেষ্ট সাহায্য করবে।
It is a privilege to be a partner of Seychelles in the development of its security capabilities.	সেশেলসের নিরাপত্তা সংক্রান্ত বিকাশে ভারতবর্ষের অংশীদার হওয়ার বিষয়টি যথেষ্ট গুরুত্বপূর্ণ।
Today, I am pleased to announce that we will be giving one more Dornier aircraft to Seychelles.	সেশেলস’কে আরও একটি ডর্নিয়ার উড়ান উপহার দেওয়ার কথাও ঘোষণা করেন প্রধানমন্ত্রী।
Later today, I will have the honour to launch the Coastal Surveillance Radar Project.	প্রধানমন্ত্রী বলেন, সেশেলসের উপকূলের নিরাপত্তায় নজরদারি দৃঢ়তর করার লক্ষ্যে একটি রাডার প্রকল্প উদ্বোধন করার সৌভাগ্য তাঁর হয়েছে।
This is another symbol of our cooperation.	দু’দেশের মধ্যে সহযোগিতায় এও এক নিদর্শন।
These steps will enable Seychelles to secure these beautiful islands and the vast expanse of waters around them.	এই রাডার প্রকল্প নীলাভ পরিবেশের মাঝখানে রূপসী সেশেলসের নিরাপত্তা আরও মজবুত করবে।
Seychelles will also continue to make an enormous contribution to the safety and security of the Indian Ocean Region.	ভারত মহাসাগরীয় অঞ্চলের নিরাপত্তা মজবুত করার লক্ষ্যে সেশেলস্ – এর অবদান যথেষ্ট মর্যাদা পাবে।
Our agreement today on hydrographic survey adds a new dimension to our maritime cooperation.	জলসম্পদ সংক্রান্ত সমীক্ষা দু’দেশের চুক্তিবদ্ধতা ও নৌ-সংক্রান্ত সহযোগিতায় নতুন মাত্রা সংযোজন করবে।
President Michel and I also underlined the importance of comprehensive cooperation in the Indian Ocean Region.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী ও প্রেসিডেন্ট মিশেল ভারত মহাসাগরীয় অঞ্চলে সুসংহত সহযোগিতার প্রয়োজনীয়তার ব্যাপারে একমত পোষণ করেন।
We expressed support for a more active and productive Indian Ocean Rim Association.	দু’দেশের উন্নয়নমূলক অংশীদারিত্ব ও ভারত মহাসাগরীয় বলয়ভুক্ত দেশগুলির সমিতির উৎপাদনমূলক সহযোগিতায় বিশ্বাসী যে দু’দেশই তাও জানান কথা প্রসঙ্গে।
Our development partnership is also a strong pillar of our relations.	দু’দেশের সম্পর্কে উন্নয়নমূলক অংশীদারিত্ব একটি শক্তিশালী স্তম্ভ বলে মতপ্রকাশ করেন প্রধানমন্ত্রী।
Our agreement today on the development of infrastructure in the Assumption Island gives a strong boost to this partnership.	এই অংশীদারিত্ব আরও গুরুত্বপূর্ণ হয়ে উঠেছে আজ পরিকাঠামোমূলক উন্নয়ন সংক্রান্ত চুক্তির মাধ্যমে।
We are pleased to be a partner in development of human resources and capacity building in Seychelles.	সেশেলসের ক্ষমতার বিকাশ ও মানবসম্পদ উন্নয়নে ভারতবর্ষ ভাগীদার হওয়ায় সন্তোষ প্রকাশ করেছেন প্রধানমন্ত্রী।
Indeed, Seychelles is one of the largest recipients of Indian assistance in this area.	ভারত মহাসাগরীয় অঞ্চলে ভারতীয় সহায়তার সব থেকে বেশি ভাগিদার হল সেশেলস।
We intend to expand this further in the future.	শ্রী মোদী এই সহায়তার আরও সম্প্রসারণের আশ্বাস দেন তাঁর বার্তায়।
Seychelles is a leader in advancing the concept of Blue Economy.	তিনি বলেন, নীল অর্থনীতি (ব্লু ইকোনমি)-র বিষয়টি আরও সম্প্রসারণ করার ব্যাপারে সেশেলস এখনও পর্যন্ত সর্বাগ্রে রয়েছে।
We also believe that the Ocean Economy is indispensable to meeting our future challenges.	ভারতবর্ষ বিশ্বাস করে, মহাসাগরীয় অঞ্চলের অর্থনীতি ভবিষ্যতের সমস্যাগুলি মেটানোর ক্ষেত্রে একটি গুরুত্বপূর্ণ বিষয়।
Today, President Michel and I have agreed to establish a Joint Working Group to expand our cooperation on the blue economy.	ব্লু ইকোনমি বা নীল অর্থনীতি বিষয়ক সহযোগিতায় দু’দেশই একটি যৌথ কর্মীগোষ্ঠী স্থাপনে ঐকমত্যে এসেছে বলে প্রধানমন্ত্রী জানান।
This cooperation will increase our understanding of marine ecology and resources.	এই সহযোগিতায় সামুদ্রিক পরিবেশ এবং সম্পদ বিষয়ক বোঝাপড়া অনেকাংশেই বাড়িয়ে দেবে।
We will improve our ability to harness new possibilities of the ocean in a sustainable and balanced manner.	ভারসাম্য বজায় রেখে মহাসাগরকে আরও কিভাবে ব্যবহার করা যায় সে বিষয়ে ভাবনা-চিন্তার আরও বিকাশ ঘটবে দু’দেশের এই সহযোগিতার ফলে, বলে আশা করেন প্রধানমন্ত্রী।
This is a major step in advancing our scientific and economic cooperation.	এই সহযোগিতা দু’দেশের বিজ্ঞান ও অর্থনৈতিক বোঝাপড়াও মজবুত করবে বলে তিনি মত ব্যক্ত করেন।
We stressed our support for expansion in our modest trade and investment relations.	শ্রী মোদী বলেন, বাণিজ্য ও বিনিয়োগ সংক্রান্ত সম্পর্ক সম্প্রসারণ করার ব্যাপারে দু’দেশই তাদের সমর্থন প্রকাশ করেছে।
We are confident that we can achieve it, especially as Seychelles looks to a future in which information technology and services play an increasingly important role.	প্রধানমন্ত্রীর বিশ্বাস সেশেলসের তথ্য প্রযুক্তি এবং পরিষেবা আরও গুরুত্বপূর্ণ ভূমিকা পালন করতে পারবে।
I also expressed hope that Seychelles would be able to quickly utilize the committed 75 million dollars in grants and credit in accordance with its priorities.	গুরুত্ব অনুযায়ী, ৭ কোটি ৫০ লক্ষ টাকার অনুদান ও ঋণ কোন্ খাতে ব্যবহার করবে তা সেশেলস অচিরেই চিহ্নিত করতে পারবে বলে অভিমত ব্যক্ত করেন প্রধানমন্ত্রী।
We deeply value the close and warm ties between our people.	তিনি বলেন, দু’দেশের মানুষের মধ্যে সৌহার্দ্যপূর্ণ সম্পর্ককে যথেষ্ট গুরুত্ব দেয় ভারত।
I welcomed the launch of direct air services to India by Air Seychelles last December.	শ্রী মোদী গত বছরে চালু হওয়া এয়ার সেশেলসের উড়ান পরিষেবাকেও স্বাগত জানান।
We have decided to grant free visas for three months to the citizens of Seychelles.	এই প্রসঙ্গে তিনি সেশেলসের নাগরিকদের জন্য তিন মাসের জন্য বিনামূল্যে ভিসা প্রদানের কথা উল্লেখ করেন।
We will also extend to you the facility of visa-on-arrival.	পাশাপাশি, আগমনের পরে ভিসা প্রদানের সুবিধা সম্প্রসারণের কথাও জানান।
I thanked President Michel for his Government’s consistent support to India in international forums.	প্রধানমন্ত্রী বিভিন্ন আন্তর্জাতিক মঞ্চে সেশেলস যেভাবে ভারত’কে সহযোগিতা করেছে তার জন্য ধন্যবাদ জ্ঞাপন করেন।
This includes the endorsement for India’s permanent membership of the United Nations Security Council.	রাষ্ট্রপুঞ্জের নিরাপত্তা পর্ষদে ভারতের স্থায়ী সদস্যপদ অধিকার করার বিষয়টিতেও সেশেলস যে যথেষ্ট গুরুত্ব দিয়েছে তা তাঁর বক্তব্যে জানান।
We also called for a strong and ambitious global effort, especially from the developed world, on climate change.	আবহ পরিবর্তনের ক্ষেত্রে উন্নত দেশগুলির থেকেও মজবুত মতামত আশা করে দু’দেশ।
I reiterated our consistent support to the position of the Small Island Developing States.	ক্ষুদ্র দ্বীপ উন্নয়ন বিষয়ক রাষ্ট্রগুলির অবস্থানে ভারতবর্ষ তার সহায়তা প্রদানে বদ্ধপরিকর বলে প্রধানমন্ত্রী জানান।
Equally, I renewed India’s strong commitment to our partnership with Africa.	পাশাপাশি, আফ্রিকার সঙ্গেও ভারতবর্ষের অংশীদারিত্ব পুনরায় প্রতিষ্ঠা করার বিষয়ে অভিমত ব্যক্ত করেন তিনি।
Our relationship is a powerful example of warm friendship and productive partnership.	পরিশেষে, শ্রী মোদী বলেন, ভারত ও সেশেলসের সম্পর্ক উষ্ণ সৌভ্রাতৃত্বের পরিচায়ক।
For India, this relationship means a lot.	ভারতবর্ষের ক্ষেত্রে এই সম্পর্ক যথেষ্ট গুরুত্বপূর্ণ।
The Prime Minister Shri Narendra Modi today visited Thiruvananthapuram.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী আজ (মঙ্গলবার) তিরুবনন্তপুরম সফর করেন।
He unveiled a plaque to mark the inauguration of Swadesh Darshan Scheme.	সেখানে তিনি স্বদেশ দর্শন প্রকল্পের সূচনা উপলক্ষে ফলকের আবরণ উন্মোচন করেন।
He offered prayers at Sree PadmanabhaSwamy Temple.	শ্রী পদ্মনাভস্বামী মন্দিরে পূজো দেন তিনি।
The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, has approved the proposal of the Ministry of Consumer Affairs, Food & Public Distribution, to reimburse Rs. 113.40 crore of losses on pulses imported between 2006-2011 by the National Agricultural Cooperative Marketing Federation (NAFED), Project and Equipment Corporation (PEC), State Trading Corporation (STC) and Metals and Minerals Trading Corporation (MMTC), apart from losses incurred in the sale of pulses upto six months after closure of the scheme.	জাতীয় কৃষি সমবায় বাজারজাতকরণ ফেডারেশন (এন এ এফ ই ডি), প্রজেক্ট এন্ড ইকুইপমেন্ট কর্পোরেশন (পি ই সি), স্টেট ট্রেডিং কর্পোরেশন (এস টি সি) এবং ম্যাটালস এন্ড মিনারেলস কর্পোরেশন (এম এম টি সি) ২০০৬-২০১১-র মধ্যে ডালশস্য আমদানি করার ফলে যে ১১৩ কোটি ৪০ লক্ষ টাকার ক্ষতি হয়েছিল তা পরিশোধ করার জন্য ভোক্তা বিষয়ক, খাদ্য ও গণবন্টন মন্ত্রকের দেওয়া প্রস্তাব অনুমোদন করেছে প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর নেতৃত্বাধীন কেন্দ্রীয় মন্ত্রিসভা ।
